q_id,query
2031,- Какие данные мне нужно предоставить для выполнения этой операции?
2032,"Я хочу узнать, как я могу получить консультацию в отделении Альфа банка на Большой Грузинской 00 XXXXX. Здесь никому нельзя добраться."
2033,"- ""Сколько месяцев бесплатного пребывания?"""
2034,- Почему возникла проблема с запросом получения данных о карте?
2035,На что подключены уведомления?
2036,"Я не активировал уведомления, а обслуживание карты должно было быть бесплатным!"
2037,- Как узнать остаток на счету?
2038,- Какой размер бесплатного кэша предполагается для безлимитного кэшбэка?
2039,Я хочу поменять долг на кредитная карта.
2040,- Почему SMS-сообщение о счете на карте не приходит?
2041,"Хотите поменять номер телефона вашего мужа на Альфа Мобиль? Можно сделать это через их интернет-портал ""Альфа Онлайн"". Пожалуйста, заполните необходимые поля для изменения номера телефона."
2042,"Здравствуйте, пожалуйста, объясните, как мне установить SMS-уведомления вместо push-уведомлений?"
2043,- Как найти информацию о потере чего-либо?
2044,- Как следует заставить платеж по кредиту быть видимым в мобильном приложении?
2045,"1. Как мне восстановить пустую карточку, так как нет информации о списаниях?"
2046,- Как найти БИК банка?
2047,- Как мне сохранить ту же информацию о карте?
2048,"Здравствуйте, Михаил. Да, в офисе на улице Радищева, подземная парковка, метро Белорусская."
2049,"Конечно, вот два варианта перефразированного запроса:"
2050,- Какой срок действия снижения основного долга на кредитной карте?
2051,Хотеть подключить для оплаты по телефону
2052,Все ваши баллы за кэшбэк
2053,"Здравствуйте, может ли кто-нибудь подсказать, как мне поменять пароль?"
2054,- Как подключить дополнительные опции?
2055,- Как записать заявление на открытие счета?
2056,- Как мне узнать количество активных кредитных карт?
2057,"1. В чем причина отсутствия уведомлений на телефоне, указанным в настройках личного кабинета?"
2058,"Здравствуйте. Как я могу настроить учет возврата переводов из клиента Альфа-Банка так, чтобы они не могли направлять мне средства по этому номеру телефона?"
2059,- Как мне найти нужные данные о реквизитах для оплаты последнего счета?
2060,"В какое подразделение я могу обратиться, чтобы получить информацию о реквизитах для оплаты коммивояжера?"
2061,- Какой является официальным наименованием финансового учреждения?
2062,- Как найти информацию о корреспондентском счете банк карте?
2063,Когда деньги начнут поступать на кредитный счет?
2064,- Можно ли поделить долг на отдельные частями?
2065,- Почему нет уведомлений о транзакциях на карте?
2066,"- ""Как использовать бонусы?"""
2067,"- ""Кто является держателем карты?"""
2068,- Как вернуть денежное возмещение на дебетовую карту после закрытия кредита?
2069,"Михаил, почему мои вопросы, на которые я хочу получить ответ, не приходят?? Вы не можете мне их отвечать? Это неудобная ситуация??"
2070,- Какие обязательства связаны с использованием кредита?
2071,Когда же мне платит за такси?
2072,"- Нужно ли звонить для подтверждения кода, или можно попробовать через SMS?"
2073,- Как я могу найти информацию о причинах получения验证码 на старом мобильном телефоне?
2074,- Как создать расчетный счет для кредита?
2075,- Я уже получил одобрение для операции.
2076,- Как отправить сообщение на мобильное устройство?
2077,- Как узнать и записать номер вашего расчетного счета?
2078,1. Почему я не получаю смс-уведомления об операциях?
2079,- Какова необходимость для отображения суммы на карте?
2080,- Какой метод для проверки статуса заявки существует?
2081,- Можно ли настроить несколько телефонных номеров для одной карты в СБП?
2082,- Как происходит процесс получения наличных средств на дебиторскую карту?
2083,"- ""Есть ли возможность увидеть это?"""
2084,- Почему вы не предоставили информацию о кэш бек?
2085,"- Если у друга есть карта, но отсутствует тэг, это будет восприниматься как то, что я советовала оставить этот тэг?"
2086,- Как найти офис в моем городе?
2087,"Здравствуйте, подскажите, когда мне можно прийти на прием в банк?"
2088,"- Почему кнопка ""Подтвердить новый номер"" недоступна?"
2089,"Здравствуйте, прошу разобраться с ситуацией: я хотел оплатить покупки, которые были совершены вчера, но не смог сделать это в своем городе. Банковские отделения работали только в других городах, поэтому мне не удалось расплатиться. Денег было достаточно на моей карте, но проблема заключалась в том, что магазины, где я покупал товары, не принимают наличные. Как это исправить?"
2090,Добрый день. Чем я могу помочь найти информацию о получении справки с реквизитами счета?
2091,"Здравствуйте, хочу, чтобы ребенку было удобно пользоваться нашим сервисом, подскажите, какие условия есть для детских карт? Также мне интересна возможность привязки стикеров к детской карте."
2092,"Мне нужно, чтобы начислился кэшбэк на 0%."
2093,- Как открыть доступ к полной перечни всех счетов?
2094,"Здравствуйте, почему постоянно возникают проблемы с входом в личный кабинет?"
2095,"- Какие данные мне необходимо предоставить для подтверждения того, что я действительно потерял свою карту?"
2096,- Чему равно расчетное число для кредитной карты?
2097,- Как узнать список всех счетов в банке?
2098,Подключено ли СБП?
2099,"- ""Какой метод для получения SMS-сообщений?"""
2100,- Как мне восстановить доступ к моей кредитной карте?
2101,- Какие причины могут привести к отключению оповещений о банкоматных операциях?
2102,- Какие данные нужны для получения карточки с реквизитами счета?
2103,- Почему займы до сих пор отображаются в приложении?
2104,"Добрый день! Моя текущая задолженность не позволяет мне её покрыть. Пожалуйста, подскажите, возможно ли это исправить?"
2105,"- Как правильно понять слово ""доступно"" на кредитной карте?"
2106,- Как узнать текущую стоимость услуг без необходимости посещения офиса банка?
2107,"Здравствуйте! Пожалуйста, подскажите, когда я смогу видеть свою кредитную карту в личном кабинете? А также, когда мне следует начать использовать ее услуги?"
2108,- Как мне можно вернуть долг в летний период?
2109,"- ""Как получить Сбербанк онлайн либо номер карты?"""
2110,"- ""Как исправить номер счета БанкСвязьПлюс?"""
2111,- Как найти контакта друга в списке друзей?
2112,Когда она будет готова? Изменятся ли данные на карте после получения?
2113,"Здравствуйте, что за номер карты для банковской карты?"
2114,- Как мне найти всю информацию о моих счетах?
2115,- Как получить информацию о кэшбэках?
2116,- Почему возникают проблемы с просмотром реквизитов карты?
2117,1. Как я могу активировать доставку средств на мой счет?
2118,Здравствуйте. Как мне найти информацию о моём расчетном счете?
2119,"Здравствуйте! Я столкнулся с проблемой получения справки о состоянии счета для перевода зарплаты на карту Альфа-банка. Пожалуйста, помогите мне с этим вопросом."
2120,- Что это за электронное письмо?
2121,- Почему банк отключил мой счет?
2122,- Почему карту на семейном счету нет в приложении?
2123,Узнайте о переводе СБП.
2124,"Здравствуйте. Мой кредитный проезд лишился из приложения. Использую его вновь, но нет возможности видеть эту карту."
2125,- Почему не выводится информация о карте?
2126,- Как отключить функцию пуш notifications?
2127,"- ""Как открыть доступ к моему профилю?"""
2128,- Как мне изменить номер карты СБП?
2129,"- Как вы можете подтвердить, что вы сделали эту покупку?"
2130,"Банк отправил нам уведомление о том, что заявка на реструктуризацию уже принята!"
2131,- Какой банк хранит мой счет?
2132,- Как мне получить информацию о текущем балансе на карте?
2133,- Как я могу получить свой кредитный приватный код?
2134,"Здравствуйте. Пожалуйста, расскажите, пожалуйста, как мне узнать, сколько у меня открытых счетов?"
2135,"- ""Как можно заблокировать отправку смс на телефон?"""
2136,- Почему мою кредитную карту невозможно использовать?
2137,- Как найти информацию о счете банка для получателя?
2138,- Какой способ оплаты позволяет избежать использования дополнительного средства?
2139,Как найти код для нового аккаунта?
2140,- Как найти ближайший отделение банка?
2141,- Как узнать все необходимые данные для банковской карты?
2142,- Как узнать корректное счётом для открытия расчетного счета?
2143,"Здравствуйте, может ли кто-нибудь указать мою счётную запись для наboarding средств?"
2144,- Какое последнее сообщение я получил?
2145,Кеш Блэк активировано в июне?
2146,Мои бонусы
2147,Безопасный код для проверки б/ю банка
2148,Для получения справки о реквизитах лицевого счета для НПФ необходимо:
2149,- Какой должна быть процедура для использования SIM-карты на терминале Альфа Банка?
2150,- Как установить лимит на кэш в программе?
2151,- Как получить текстовые сообщения через SMS?
2152,- Как мне получить новый номер карты?
2153,Подключить кэшбек услугу
2154,- Полная информация о счете
2155,- Как открыть и использовать расчетный счет?
2156,- Как рассчитывается кэшбэк на проезд?
2157,"- ""Где находится?"""
2158,- Как найти нужное место?
2159,- Что означают эти последние сообщения для вас?
2160,"Здравствуйте. Какова сумма, которую я получу, когда буду покупать через свою карту?"
2161,- Какое действие необходимо выполнить для перехода на SMS-уведомления вместо PUSH?
2162,"Здравствуйте, в какой части сайта я могу найти информацию о моем банковском счете?"
2163,"Здравствуйте, я получил доп. карту (стикер). Мы её активировали сотрудником банка, но она почему-то отсутствует в моей программе. Можно ли мне с ней пользоваться? И почему она не появилась?"
2164,- Как узнать данные о предоплаченных денежных средствах?
2165,Здравствуйте! Отвечаю на вопросы о программе кэшбека 0% для кафе и ресторанов.
2166,- Какой размер бонуса вы получите за проведение определенной операции?
2167,"- ""Как я могу узнать текущий номер счета?"""
2168,"- Как я могу пролонгировать кредит на 00 дней, если система отклоняет?"
2169,- Как отвязать номер телефона из системы SPS?
2170,Вызвать свои средства
2171,- Как получить бountи за здоровье?
2172,- Как узнать полное имя карты?
2173,"- ""Какова длительность привязки?"""
2174,- Что мне необходимо для получения информации о лицевом счете?
2175,- Как оформить и получить карту без SMS?
2176,- Какой размер бонусной карты на текущем счету?
2177,Расположение реквизитов в семейном счете
2178,- Когда последняя дата для использования кредитной карты?
2179,- Почему не поступили средства на кредитный баланс?
2180,"- Что делать, если возникают проблемы с расчетами?"
2181,- Почему мне нужно платить комиссии на перевод средств с кредитной карточки?
2182,- Как мне получить номер счета?
2183,- Почему SMS нельзя было отправить?
2184,- Что необходимо сделать для настройки уведомлений?
2185,- Почему пропала моя кредитная карта в мобильном приложении?
2186,- Какой процесс мне следует пройти для получения карта МИР?
2187,- Какие типы сообщений предоставляются?
2188,- Как я могу узнать причину отсутствия сообщения об оплате за последние дни?
2189,- Как найти информацию о банкомате по номеру карты?
2190,- Как мне восстановить доступ к закрытой банковской карте?
2191,"- ""С чем связано недостаток эффективности работы?"""
2192,"Конечно, вот два варианта для вашего исходного запроса:"
2193,Когда я смогу получить карту в своем личном кабинете?
2194,В моих продуктах нет ничего отображено
2195,- Как узнать номер счета?
2196,- Как узнать номер моей кредитной карты?
2197,Операция перевода в течение ноября для суммы 00 т рублей за 00 и до 00 числа
2198,"Здравствуйте. Может ли я разблокировать карту, если кредит поступил на заблокированную карту?"
2199,- Как мне отключить уведомления о переводах?
2200,- Как можно удалить виртуальную карту на устройстве?
2201,- Как мне получить необходимые данные для открытия счета?
2202,"- ""Как узнать номер, на который привязана банковская карта?"""
2203,- Какой метод для кэш бэк использования покупок?
2204,Когда я смогу использовать средства на моей карте?
2205,"- ""Что мне нужно для получения номера карты?"""
2206,- Как мне узнать номер моей банковской карты?
2207,Как выяснить свою Банковскую Идентификационную Коду?
2208,- Какое время они обычно работают?
2209,- Как получить бонусные баллы?
2210,Когда касса работает?
2211,Я не получаю смс-подтверждение после пополнения счета.
2212,- Как ограничить возможность проведения перевода по телефонному номеру?
2213,- Как найти информацию о номере счета для перечисления с другого банка?
2214,"- ""Как получить информацию о расчетном счете?"""
2215,- Как мне решить проблему с отсутствием уведомлений об операциях на детской карте?
2216,- Как можно быстро и легко ввести и проверить все данные на счет?
2217,- Почему банк не показывает мою кредитную карту в приложении?
2218,- Какое преимущество предлагает программа кэшбэк Альфа-Тревел?
2219,- Какие условия подтверждают факт наличия гарантии на оплату XXXXX?
2220,- Какие условия для получения одобрения кредита?
2221,"- ""Как получить информацию о лицевом счете?"""
2222,- Какие факторы влияют на высокую нагрузку по кредиту?
2223,- Какие данные мне нужно предоставить для создания аккаунта?
2224,- Как найти контактный номер на карте?
2225,Нужно найти необходимые данные.
2226,Номер кредитной карты узнать?
2227,Здравствуйте! Как мне привезти стикер?
2228,- Какие сроки актуальности у моей банковской карты?
2229,- Как следует из переполненной карточки?
2230,- Какие условия для получения кэшбэка?
2231,"Здравствуйте, мне сообщили, что мою карту в приложении не отображают и я не могу узнать ее данные для закрытия счета и карты"
2232,- Как восстановить мою потерянную кредитную карту?
2233,"Кэшбек — это система, которая позволяет вам экономить на покупках, внося часть стоимости товаров в счет бонусов или специальных предложений от商家."
2234,Когда планируется на карту положить средства через кредитную карту?
2235,- Какие есть мои банковские карты?
2236,- Какие счета у меня есть на вашем счету?
2237,Какие данные мне нужны для настройки счета?
2238,- Как узнать актуальный номер моего банковского счета?
2239,- Как мне получить доступ ко своим кредитным картам?
2240,Кэш-бэк в универсальном tariffе
2241,- Какие мои текущие кредитные карты?
2242,- Почему было замедлено выпayment зарплаты?
2243,- Как мне найти информацию о расчетном счете?
2244,Подключить кэшбэк - это процесс установки программы для получения процентного вознаграждения за покупки на сайте.
2245,- Какой вид кэшбека предлагает ваша компания для транспортных расходов?
2246,- Какие программы лояльности существуют для физических лиц?
2247,Здравствуйте. Какой метод поддержки для кешбека работает?
2248,"Как вывести данные о счете получателя на карте ...0000, чтобы совершить перевод из организации юридического характера?"
2249,А какие данные мне нужны для получения БИК и корпоративного счета?
2250,- Какие сроки для получения средств после оформления кредита?
2251,"- ""Как мне проверить, что сумма была переведена на счет?"""
2252,"- Убедитесь, что мои СБП подключены."
2253,- Какие условия необходимо соблюсти для получения бонусной суммы?
2254,- Что нужно для обслуживания в офисе?
2255,Я ищу рабочее место и мне говорят указать расчетный счет. Как их найти?
2256,Добрый день! Позволяется ли установить только SMS-уведомления без Push?
2257,Кешбек потраченный на прокрутку барабана также может быть использован для дополнительного отображения информации.
2258,- Как получить временный код для входа?
2259,"- ""Установить контактный телефон"""
2260,- Какой адрес я мог забыть?
2261,Нужна лигация времени
2262,- Как извлечь сумму с баланса?
2263,"- Как мне получить все детали моего счета, например, номер, название банка и сумму средств?"
2264,- Как мне получить информацию о начисленных кэшбеках?
2265,- Почему мне отказывают в возможности переводить сумму на мою карточку по номеру телефона?
2266,Кредит наличными для любых нужд. В течение какого времени средства будут доступны?
2267,- Как проверить текущее состояние счета на зарплатной карте?
2268,"- Что мне нужно для того, чтобы получить необходимые реквизиты для карточки?"
2269,"Добрый день! Какой период времени вы хотите видеть в вашей истории операций по кредитной карте? Например, последние три года."
2270,- Почему не появляется моей кредитная карта?
2271,- Как проверить свои кредитные истории?
2272,"Мне нужна помощь в определении условий для фильтрации переводов, направленных на сумму 0000, которые я получаю?"
2273,"Получение награды, 00, в офисе банка"
2274,- Каких методов можно использовать для извлечения средств при закрытии счета?
2275,- Как проверить детали контракта?
2276,"- ""Что необходимо сделать для добавления моих телефонных номеров?"""
2277,"- ""Как я могу настроить рассылки для получения оповещений о пополнении?"""
2278,- Как это могло произойти? Я ничего не изменила!
2279,- Какие услуги предоставляет финансовая организация включая счета и банковские карты?
2280,- Что такое услуги Альфа-банка?
2281,"Здравствуйте, возможно ли заменить номер телефона, потеряв SIM-карту?"
2282,"Здравствуйте! Как я могу использовать деньги, которые мне выдали на кредитную карту?"
2283,- Почему вы не можете найти ссылку в сообщении?
2284,- Как следует изложить условия для перенаправления средств со счета на рассрочку?
2285,- Как найти информацию о привязанном счете на карту?
2286,Как подключиться к счету养老保险?
2287,"- Как организовать встречу в банке, если нет нужного города в списке?"
2288,"Подключитесь, пожалуйста, для того чтобы я мог зайти в Альфа-Ланжсы в аэропортах."
2289,- Почему не приходят SMS сообщения?
2290,- Какой номер налогоплательщика (ИНН) и БИК банка мне необходимо предоставить для совершения операций?
2291,"- Что мне нужно сделать, чтобы отключенная услуга была активирована?"
2292,Отменить заявку на замену номера
2293,- Как найти информацию о местонахождении?
2294,"- ""Как оформить и получить карту через Swift?"""
2295,Есть ли в Республике Беларусь представительства Альфа-банка?
2296,"- ""Я имею проблему с отключенными услугами"""
2297,- Можно ли использовать деньги до получения Альфа-карты?
2298,- Как узнать мой уникальный сертификат для Alfa Drive?
2299,- Как мне скачать информацию о карте?
2300,- Какой код для библиотеки?
2301,- Почему нет возможности видеть данные в приложении для детских карт?
2302,Запись о приеме документов в банк
2303,- Как мне подключиться к функционалу Push Notifications через SMS?
2304,- Почему мне не пришли деньги по кредиту?
2305,"Здравствуйте. При переводе средств на мое счет почему-то отображается не мой номер, а номер другого человека?"
2306,"А что нужно сделать, чтобы продлить срок действия кредита на 0 дней?"
2307,Подписки на кэшбэк услуги
2308,"Конечно, вот две варианты для вашего запроса:"
2309,- Какие условия необходимо соблюсти для получения кешбэка на поездки?
2310,"Здравствуйте, сегодня я вошел в банк и заметил, что мой кредитный счет отсутствует. Чем это объясняется?"
2311,- Как это можно исправить?
2312,"- Какие действия необходимо выполнить, чтобы настроить автоматический отслеживание перенаправлений средств?"
2313,- Какие мои текущие счета?
2314,- Как узнать номер расчетного счета?
2315,- Какие услуги предоставляет банк?
2316,"Добрый вечер, не могу найти информацию о реквизитах карты, хотя телефон остается прежним. Однако он использовался для юридического лица ранее, теперь используется для моего личного использования."
2317,"- ""Как отключить функцию использования стикеров и детских карт?"""
2318,Узнать номер БИК и корреспондентский счет.
2319,- Какой кэшбэк предоставляют компании за июль?
2320,Я刚办理了你们的信用卡。
2321,- Как проверить наличие карты на счету?
2322,- В какие места можно найти эту информацию?
2323,- Как получить скидку за совершённую операцию?
2324,Для нужд бухгалтерии я буду потребовать данных от Альфа-банка.
2325,Здравствуйте. Какие мои аккаунты и карты доступны?
2326,- Как долго действует одобрение на выдачу кредита?
2327,"- ""Счет другой организации связан с моим номером телефона"""
2328,Открыла кредитную карту на воскресенье и собираюсь забрать ее в понедельник. Где мой банковский счет?
2329,Г. Черкесск является частью России. Какой адрес используется для работы там?
2330,"Добрый вечер, как установить детский смайлик для перевода по телефонному номеру?"
2331,"- Почему не приходят сообщения о том, что вы взяли кредит?"
2332,"Могу ли я узнать, когда мой новый телефонный номер начнет работать?"
2333,Безопасность БИК банка
2334,- Как отключить переводы средств на карту через Сбербанк онлайн?
2335,- Как проверить наличие денег на карте?
2336,- Как найти нужную информацию?
2337,- Как мне настроить доступ к данным по кредитным карточкам?
2338,- Какие данные о банке мне предоставляются?
2339,- Какой источник содержит данное сообщение?
2340,- Какие есть кошельки на балансе?
2341,- Почему нет возможности видеть средства на карте?
2342,Необходимо получить копию данных для проверки на подпись банкоматом
2343,- Какой процент кэшбэка можно получить на покупки?
2344,- Как установить ограничение на сумму?
2345,- Что мне нужно для подключения интернета?
2346,- Как мне восстановить заблокированную банковскую карту?
2347,- Почему нет возможности видеть расчетный счет?
2348,"- Как узнать, придет ли смс или будет пуш?"
2349,- Какой срок длится на данном кредите?
2350,- Почему SMS не могут быть отправлены?
2351,1. Почему нет приходящего кода для оформления кредита через пуш-уведомление?
2352,- Почему нет отображения информации?
2353,"- Как я могу узнать о том, когда появится счет на моей кредитной карте?"
2354,"Здесь, где вы находитесь. Вы можете связаться со мной онлайн."
2355,- Как мне получить纸质版 счета карты?
2356,- Как мне办理延期还清信用卡？
2357,Запись моего имени в адресную книгу банка для получения справки
2358,- Как восстановить forgotten password?
2359,"Нужно найти номер телефона, который связан с вашим банком."
2360,- Какой способ для просмотра бика банк?
2361,- Как мне осуществить замену номера телефона?
2362,- Почему перевод сбп не может быть найден в приложении?
2363,"1. ""Использование сервиса для сброса пароля, если он был заблокирован?"""
2364,Это полная информация о сотруднике? Она достаточно для выплаты зарплаты?
2365,- Какой метод получения кэшбэк на использование кредита?
2366,- Как отправить сообщение по SMS на телефон?
2367,- Почему нет возможности войти в личный кабинет?
2368,- Как мне узнать номер моего счета?
2369,"- ""Можно ли оформить карточку для использования за границей?"""
2370,- Как мне отменить кешбек?
2371,"Здравствуйте, когда я должна предоставить документ с информацией о моих финансовых счетах для устройства на работу? Это справка о наличии счета?"
2372,- Почему счет не перечисляет деньги?
2373,"Здравствуйте, карта не переведена на нужное количество рублей."
2374,- Как мне узнать номер моего расчетного счета?
2375,"Добрый день. Я недавно сделал заказ, но не видит результатов в истории оплаты."
2376,- Как办理并激活阿尔法信用卡？
2377,- Какие мотивы приводят к оформлению новой карты?
2378,- Как можно обновить информацию о моей банковской карте?
2379,- Чему равен мой текущий лимит на кредит?
2380,- Почему карточки банка не видно на экране?
2381,"- Что необходимо сделать, чтобы открыть карту?"
2382,- Какие причины могут привести к невозможности использования кредитных средств?
2383,- Почему не видите этот элемент в приложении?
2384,"Как я могу вам помочь? Вы хотите узнать, где находится ваш аккаунт или данные, которые вы хотели открыть?"
2385,Все операции отключены.
2386,- Как узнать все данные о моих картах и сколько у меня их всего?
2387,- Какие услуги предлагаются по счетам на кредит?
2388,- Почему не происходит вывод платежа?
2389,- Как можно установить счет на дату «00 августа»?
2390,- Чему следует обращаться для нахождения расчетного счета?
2391,"- Что делать, чтобы операция не отображалась?"
2392,- Как можно пройти в банк?
2393,Здравствуйте! Как мне быстро отправлять средства друзьям и родным?
2394,Просмотреть все мои балансовые операции.
2395,- Как узнать номер своего счета?
2396,"Здравствуйте, я перечислила XXXXX средствами оплаты. Пожалуйста, перенаправите перевод денег на карту, которую мне указали."
2397,"- ""Можно ли поменять номер телефона на другой, а свои данные оставить прежними?"""
2398,1. Где можно найти информацию о местоположении приложения?
2399,- Как мне создать расчетный счет на электронную почту?
2400,Узнать номер расчетного счета
2401,"- ""Ошибки при попытке открыть историю по кредитке?"""
2402,- Как долго обычно занимает процесс рефинансирования?
2403,- Как происходит процесс засчета денег?
2404,Где можно найти информацию о расчетном счете?
2405,- Какой процесс следует пройти для посещения?
2406,"Здравствуйте, может ли я сейчас оформить кредитную карту или мне необходимо ещё ждать?"
2407,"- ""На каком устройстве можно узнать номер счета?"""
2408,"- Как узнать историю, которую кто-то привел мне?"
2409,- Последние сделки
2410,"- Как узнать, когда будет отчищено баланс на счете?"
2411,- Как мне сообщить о перенаправлении?
2412,Здравствуйте! Как я могу пройти завершение кредита?
2413,- Как мне найти номер вашего счета на карте?
2414,Дополнение к кредитной карте
2415,- Как можно узнать БИК и расчетный счет?
2416,Здравствуйте! Был в банке города Хабаровск на улице Муравьева. Может быть забыл подключиться к терминалу? Как связаться с сотрудниками?
2417,"Кешбек за период января, февраля и апреля"
2418,- Как восстановить отмененный платеж из историю?
2419,- Почему карта недоступна в приложении?
2420,- Какую функцию предоставляет уведомление?
2421,- Как получить расчётный счет на карте?
2422,- Как найти информацию о расчетном счете?
2423,Я не могу переводить или оплачивать карту снимается с дебетовой карты. Поменяйте на кредитную.
2424,Если информация пропала?
2425,- Почему я не могу найти информацию о моей кредитной карте в списке?
2426,- Что длится время validity для этого?
2427,- Как это работает дополнительный кэшбек?
2428,- Как мне узнать о списаниях на моей карте?
2429,- Как узнать срок действия банковской карты?
2430,"- ""Что мне делать для проверки моего счета получателя?"""
2431,- Как мне найти правильный БИК банка и счёт для отправки денег?
2432,- Почему мне не приходят сообщения об операциях?
